2026-01-17 11:53:24,500 | INFO | Datenbank erfolgreich initialisiert.
2026-01-17 11:53:24,704 | INFO | WARNUNG: Keine Admin-Rechte! Überwachung evtl. eingeschränkt.
2026-01-17 11:53:24,705 | INFO | Monitor aktiv: C:/Users/Public
2026-01-17 11:53:24,706 | INFO | Monitor aktiv: C:/Users/Student/Downloads
2026-01-17 11:53:59,262 | INFO | DeerSecure ordnungsgemäß beendet.
2026-01-17 11:54:54,594 | INFO | Datenbank erfolgreich initialisiert.
2026-01-17 11:54:54,705 | INFO | WARNUNG: Keine Admin-Rechte! Überwachung evtl. eingeschränkt.
2026-01-17 11:54:54,706 | INFO | Monitor aktiv: C:/Users/Public
2026-01-17 11:54:54,708 | INFO | Monitor aktiv: C:/Users/Student/Downloads
2026-01-17 11:54:59,781 | INFO | DeerSecure ordnungsgemäß beendet.
2026-01-17 11:55:07,789 | INFO | Datenbank erfolgreich initialisiert.
2026-01-17 11:55:07,896 | INFO | WARNUNG: Keine Admin-Rechte! Überwachung evtl. eingeschränkt.
2026-01-17 11:55:07,898 | INFO | Monitor aktiv: C:/Users/Public
2026-01-17 11:55:07,899 | INFO | Monitor aktiv: C:/Users/Student/Downloads
2026-01-17 11:55:15,366 | INFO | DeerSecure ordnungsgemäß beendet.
2026-01-17 11:55:51,819 | INFO | Datenbank erfolgreich initialisiert.
2026-01-17 11:55:51,936 | INFO | WARNUNG: Keine Admin-Rechte! Überwachung evtl. eingeschränkt.
2026-01-17 11:55:51,937 | INFO | Monitor aktiv: C:/Users/Public
2026-01-17 11:55:51,938 | INFO | Monitor aktiv: C:/Users/Student/Downloads
2026-01-17 11:55:54,269 | INFO | DeerSecure ordnungsgemäß beendet.
2026-01-17 12:04:12,767 | INFO | Datenbank erfolgreich initialisiert.
2026-01-17 12:04:12,875 | INFO | WARNUNG: Keine Admin-Rechte! Überwachung evtl. eingeschränkt.
2026-01-17 12:04:12,876 | INFO | Monitor aktiv: C:/Users/Public
2026-01-17 12:04:12,877 | INFO | Monitor aktiv: C:/Users/Student/Downloads
2026-01-17 12:15:33,317 | INFO | Überwachung aktiv: C:\Users\Student/Downloads
2026-01-17 12:15:44,696 | INFO | Manueller System-Scan gestartet...
2026-01-17 12:15:45,705 | INFO | Scan abgeschlossen.
2026-01-17 12:16:43,424 | INFO | DeerSecure wurde beendet.
2026-01-17 12:16:44,508 | INFO | Überwachung aktiv: C:\Users\Student/Downloads
2026-01-17 12:16:56,008 | INFO | DeerSecure wurde beendet.
2026-01-17 12:16:57,077 | INFO | Überwachung aktiv: C:\Users\Student/Downloads
2026-01-17 12:16:59,440 | INFO | DeerSecure wurde beendet.
2026-01-17 12:17:19,222 | INFO | Überwachung aktiv: C:\Users\Student/Downloads
2026-01-17 12:17:21,431 | INFO | DeerSecure wurde beendet.
2026-01-17 12:17:28,973 | INFO | Überwachung aktiv: C:\Users\Student/Downloads
2026-01-17 12:17:30,746 | INFO | Manueller System-Scan gestartet...
2026-01-17 12:17:31,760 | INFO | Scan abgeschlossen.
2026-01-17 12:17:34,807 | INFO | DeerSecure wurde beendet.
2026-01-17 12:18:32,085 | INFO | Überwachung aktiv: C:\Users\Student/Downloads
2026-01-17 12:18:41,743 | INFO | DeerSecure wurde beendet.
